,Organizations,About,Technology,Category,Topics
0,52°North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics.,"web services, ogc standards, java, javascript, web",Other,"geoinformatics, sensor web, web-based geoprocessing, spatial data infrastructures, spatial information"
1,AboutCode,"Open Source for Open Source: software license, origin and packages discovery","python, c/c++, javascript,  shell script, static analysis",Programming Languages and Development Tools,"free and open source software  license and origin, package and dependencies licensing and origin, package vulnerabilities and security, code scan and matching, code analysis and spdx"
2,AerospaceResearch.net,Making Space Together,"python, c/c++, vhdl, boinc",Science and Medicine,"cubesats, space applications, software defined radio, distributed computing, simulations"
3,aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""","python,  javascript, machine learning, artificial intelligence, java",Programming Languages and Development Tools,"artificial intelligence, machine learning, education"
4,Amahi,Making Home Networking and Storage Simple," android, golang, restful api, streaming, ruby on rails",Operating Systems,"home servers, networking, storage, webapps, mobile streaming"
5,AOSSIE - Australian Open Source Software Innovation and Education,Umbrella Org for Open-Source Projects in Australia,"scala, javascript/html/css, automated reasoning, android/ios, xcode",Science and Medicine,"logic, electronic voting, natural language processing, philosophy, environment"
6,Apache Software Foundation,Providing open source software to the public free of charge,"java, c, erlang",Other,"cloud, libraries, big data"
7,Apertium,Free/open-source rule-based machine translation,"c++, xml, python, nlp",Other,"natural language processing, machine translation, lesser-resourced languages"
8,Apertus Association,Open Technology for Professional Film Production,"fpga, vhdl, c, linux, c++",Graphics / Video / Audio / Virtual Reality,"video, camera, vision, real time, photography"
9,appleseedhq,A modern open source rendering engine for animation and visual effects,"c++, python, qt",Graphics / Video / Audio / Virtual Reality," computer graphics, 3d, rendering, animation, vfx"
10,ArduPilot,The worlds most advanced open source autopilot,"c++, python, embedded, rtos, ros",Other,"autopilot, robotics, uav, drones, rovers"
11,Babel,"Babel, the community driven compiler for writing next generation JavaScript","javascript, babel, nodejs",Programming Languages and Development Tools,"compilers, ast, minifier, tc39"
12,Bazel,Fast and correct build system for Google scale,"java, linux, go",Programming Languages and Development Tools,"development tools, build systems"
13,BeagleBoard.org Foundation,"open hardware physical computing for makers, educators and professionals","javascript, linux, beaglebone, python, c",Programming Languages and Development Tools,"real time, robotics, iot, physical computing, coprocessing"
14,Beam Community,"From distributed systems, to robust servers and language design on the Erlang VM","erlang, elixir, lisp, xmpp",Programming Languages and Development Tools,"realtime, communication system, database, clustering"
15,BeeWare Project,The IDEs of Python. Tools for cross-platform Python application development.,"python, mobile, ios, android",Programming Languages and Development Tools,"ui, ide, cross-platform"
16,Berkman Klein Center for Internet and Society at Harvard University,"exploring cyberspace, sharing in its study & pioneering its development","ruby on rails, meteor.js, d3, elasticsearch, javascript ",Web,"digital rights, internet access, security and privacy, law,  web"
17,Blender Foundation,Free and open source 3D creation for artists and teams,"opengl, opencl, python, c, c++",Graphics / Video / Audio / Virtual Reality,"3d, animation, graphics, modeling, vfx"
18,Boost C++ Libraries,Boost provides free peer-reviewed portable C++ source libraries.,"c++, c++11, c++14, boost",Programming Languages and Development Tools,library
19,Boston University / XIA,Crowdsourcing the future Internet,"xia,  linux kernel,  c,  advanced data structures",Cloud,"computer networking,  future internet architecture,  research"
20,BRL-CAD,"& LibreCAD, OpenSCAD, STEPcode, LinuxCNC, FreeCAD, & Slic3r!  Computer Graphics.","c/c++, opencl, python, javascript, qt",Graphics / Video / Audio / Virtual Reality,"cad, geometry, 3d, ray tracing, visualization"
21,Cadasta,"Transforming the way land & resource rights are documented, managed and stored.","python, django, javasc, javascipt",End User Applications,"web, land rights, mapping, geo, geospatial"
22,Catrobat,Computational thinking for all through visual mobile programming frameworks,"android, java, html5, ios, web",Programming Languages and Development Tools,"education, programming tools, app development, web applications, scratch"
23,cBioPortal for Cancer Genomics,Developing open source solutions for precision medicine for cancer patients," javascript, java, web, reactjs, web services",Science and Medicine,"cancer, bioinformatics, big data, genomics, biology"
24,CCExtractor Development,Tools for a subtitled world.,"c, python, raspberry pi, linux, visual studio",Graphics / Video / Audio / Virtual Reality,"subtitles, television, movies, media"
25,Ceph,The Future of Storage,"c++, python, object-storage",Data and Databases,"cloud storage, storage"
