,Organizations,About,Technology,Category,Topics,Count,Last Appeared
0,3DTK,The 3D Toolkit provides algorithms and methods to process 3D point clouds,"c/c++,  cmake, opencv, ros, boost",Science and Medicine," 3d, point clouds, slam, robotics, mapping",1,2018
1,52Â°North GmbH,52Â°North works on innovative ideas and technologies in geoinformatics,"python, javascript, java, web services, ogc standards",Science and Medicine,"citizen science, spatial information infrastructures, open standards, geoinformation systems",2,2021
2,52Â°North Initiative for Geospatial Open Source Software GmbH,52Â°North works on innovative ideas and technologies in geoinformatics,"javascript, android, web,  java",Science and Medicine,"ogc, web processing, sensorweb, floating car data, earth observation",8,2019
3,abiword,,,,,5,2013
4,AboutCode,AboutCode is a suite of tools to uncover data ... about software and code:,"python, javascript, django, postgres",Other,"software composition analysis, software packages, scanning",2,2021
5,AboutCode.org,"Find the origin, license and vulnerabilities of your code and deps."," python, c/c++, rust,  javascript,  postgresql",Programming Languages and Development Tools,"dependencies, license-scan, application security, software analysis, machine learning",2,2020
6,Academy Software Foundation (ASWF),Open source foundation for film industry projects.,"c/c++,  python",Graphics / Video / Audio / Virtual Reality,"2d/3d graphics, cloud computing, file formats, color management, filmmaking",1,2020
7,Accord Project,Linux Foundationâ€™s open source project for smart legal contracts.,"javascript, react, compiler, ocaml, coq",Programming Languages and Development Tools,"compilers, ai, legal, smart contracts, blockchain",2,2021
8,AerospaceResearch.net,making space together,"python, machine learning, sdr, sqlite, raspberry pi",Science and Medicine,"space applications, signal processing, software defined radio, cubesats, simulations",7,2021
9,afl++,Making fuzzing more effective every day,"fuzzing, c/c++, qemu, llvm, sanitizers",Security,"bug finding, software testing, fuzzing",1,2020
10,AFLplusplus,Fuzzing for the future,"c/c++, llvm, rust, fuzzing, instrumentation",Security,"fuzzing, secure development, instrumentation",1,2021
11,Africa Soil Information Service,,,,,1,2015
12,aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""","python, python 3,  java,  javascript, machine learning",Programming Languages and Development Tools,"machine learning, artificial intelligence,  education, open education",4,2019
13,Amahi,Making Home Networking and Storage Simple,"ruby on rails,  javascript,  android, golang, swift",Operating Systems,"operating systems,  networking,  web servers, streaming, mobile-apps",5,2020
14,Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers,"java, opengl, c++, spir-v, webgpu",Programming Languages and Development Tools,"bug finding, developer tools, graphics, fuzzing",3,2021
15,AnitaB.org Open Source,Women transform technology. Technology transforms the world.,"ios,  android, python, javascript",Other,"mobile,  web, mobile programming, web programming",1,2020
16,AnkiDroid,makes remembering things easy,"javascript, android, java, gradle",End User Applications,"education, android, user generated content, flashcard",1,2021
17,Ankur India,,,,,2,2013
18,AOSSIE,Australian Umbrella Org for Open-Source Projects,"javascript, android, machine learning, scala, ios",End User Applications,"machine learning, electronic voting, natural language processing, social science",2,2021
19,AOSSIE - Australian Open Source Software Innovation and Education,Australian Umbrella Org for Open-Source Projects,"scala, javascript, isabelle proof assistant, android, ios",End User Applications,"electronic voting, natural language processing, environment, machine learning, philosophy",3,2019
20,AOSSIE - The Australian National University's Open-Source Software Innovation and Education,Research-Intensive Open-Source Projects at Australia's Leading University,"scala, lisp, llvm, python, postgresql",Science and Medicine,"logic, live programming, data analysis, health, privacy",1,2016
21,Apache Software Foundation,Providing open source software to the public free of charge,"c, java, erlang",Other,"other, cloud, libraries, big data",9,2018
22,Apertium,A free/open-source machine translation platform,"python, javascript, c++, xml, bash",Other,"natural language processing, machine translation, less-resourced languages",10,2021
23,Apertus Association,Open Technology for Professional Film Production,"fpga, embedded, linux, c/c++, vhdl",Graphics / Video / Audio / Virtual Reality,"vision, camera, cinematography, digital imaging, photography",2,2018
